daejeon-funeral.html: table=True, route=True, generic=False
konyang-hospital.html: table=True, route=True, generic=False
eulji-hospital.html: table=True, route=True, generic=False
daecheong-hospital.html: table=True, route=True, generic=False
najin.html: table=True, route=True, generic=False
daejeon-sungsim.html: table=True, route=True, generic=False
chungnam-national-hospital.html: table=True, route=True, generic=False
daejeon-st-marys.html: table=True, route=True, generic=False
daejeon-bohun.html: table=True, route=True, generic=False
comwel-daejeon.html: table=True, route=True, generic=False
